9.334950	32.302760	vorbitor_0
29.455737	52.067669	vorbitor_1
51.082161	61.922748	vorbitor_2
60.225484	70.847070	vorbitor_2_1
69.478309	75.665109	vorbitor_2_2
74.734351	82.892167	vorbitor_1_1
81.797158	88.586213	vorbitor_3
87.655455	99.426800	vorbitor_3_1
97.729536	103.971086	vorbitor_1_2
102.219072	117.932449	vorbitor_0_1
117.987199	138.901867	vorbitor_1_3
136.109595	153.958238	vorbitor_3
152.589477	161.951803	vorbitor_4
160.637792	171.040376	vorbitor_1_4
169.835866	182.045214	vorbitor_5
181.004956	189.929278	vorbitor_1_5
187.301257	231.101609	vorbitor_0_2
228.637839	246.650734	vorbitor_0_3
245.391474	282.512272	vorbitor_6
281.307763	292.148350	vorbitor_7
291.162842	319.742572	vorbitor_8
319.140317	324.889113	vorbitor_0_4
326.695878	336.988961	vorbitor_9
346.104909	352.072707	vorbitor_0_5
