0,816760	6,969687	vorbitor 0
8,167602	20,527906	vorbitor 0-2
21,562469	26,626383	vorbitor 0-3
27,715396	34,848435	vorbitor 0-4
35,774097	148,379082	vorbitor 0-5
145,546668	240,799463	vorbitor 1
240,834436	249,745501	vorbitor 0-6
251,003711	347,245516	vorbitor 2
347,525665	399,563467	vorbitor 0-7
401,279383	503,779144	vorbitor 3
503,989256	518,679604	vorbitor 0-8
518,749642	581,450640	vorbitor 4
581,520677	607,290511	vorbitor 0-9
607,466448	644,572659	vorbitor 5
644,671623	718,295756	vorbitor 0-10
718,567575	1275,566386	vorbitor 6
1283,595267	1809,486929	vorbitor 6-2
1810,116932	1812,100000	vorbitor 7
1812,110000	1817,222784	vorbitor 6-3
1817,339994	1818,585350	vorbitor 7-2
1819,361866	1827,000000	vorbitor 6-4
1827,364219	1833,503090	vorbitor 7-3
1833,898673	1835,231936	vorbitor 6-5
1835,876591	1854,512350	vorbitor 7-4
1854,893282	1856,417011	vorbitor 6-6
1856,563524	1861,837971	vorbitor 7-5
1861,904717	1921,242245	vorbitor 8
1922,582018	1942,185379	vorbitor 0-11
1942,624916	2281,000000	vorbitor 8-2
2281,560914	2314,619938	vorbitor 7-6
2314,794783	2477,682430	vorbitor 8-3
2477,843825	2547,109070	vorbitor 7-7
