0,816760	6,969687	vorbitor 0
8,167602	20,527906	vorbitor 0
21,562469	26,626383	vorbitor 0
27,715396	34,848435	vorbitor 0
35,774097	144,784359	vorbitor 0
145,546668	240,799463	vorbitor 1
240,834436	249,745501	vorbitor 0
251,003711	347,245516	vorbitor 2
347,525665	399,563467	vorbitor 0
401,279383	503,779144	vorbitor 3
503,989256	518,679604	vorbitor 0
518,749642	581,450640	vorbitor 4
581,520677	607,290511	vorbitor 0
607,466448	644,572659	vorbitor 5
644,671623	718,295756	vorbitor 0
718,567575	1275,566386	vorbitor 6
1283,595267	1809,486929	vorbitor 6
1810,116932	1812,050896	vorbitor 7
1812,065547	1817,222784	vorbitor 6
1817,339994	1818,585350	vorbitor 7
1819,361866	1827,185629	vorbitor 6
1827,361443	1833,500314	vorbitor 7
1833,895897	1835,229160	vorbitor 6
1835,873815	1854,642055	vorbitor 7
1855,022987	1856,546716	vorbitor 6
1856,693229	1861,967676	vorbitor 7
1862,034422	1921,371950	vorbitor 8
1922,711723	1942,315084	vorbitor 0
1942,754621	2280,934577	vorbitor 8
2281,691326	2314,750350	vorbitor 7
2314,925195	2477,812842	vorbitor 8
2477,974237	2547,239482	vorbitor 7
